nom_pmu,pere,mere,bms
HULK DE LA VALLEE,TWIST DE LA VALLEE,JOIE DE LA VALLEE,CASINO DES SPORTS
FERGUIE DE BIEVRE,LUDO DE CASTELLE,ROXANE DE BIEVRE,BLUE DREAM
ECU,PRODIGIOUS,REINE DE LA LOGE,JENKO
FEU D'AZUR,REAL DE LOU,TICOLA WILLIAMS,BUVETIER D'AUNOU
GALAXY DU REYNARD,QUAKER JET,PRETTY MELODY,BUVETIER D'AUNOU
GITANO DE FELINE,VANISHING POINT,URFA DE FELINE,ECHO
FLIGNY,COKTAIL JET,LAZIO DU BOURG,TADZIO DE LA MOTTE
HOKIO,BOLERO LOVE,NO LIMIT JET,DEFI D'AUNOU
EXTRA DE LUNOJO,NORMAN JET,HERBE DES BROUETS,RENOSO
SAMBA,GINGER SOMOLLI,JUPETTE DES LUPINS,GRANIT (H.N.)
GABARRET DAIRPET,TORINO D'AUVILLIER,VAKAHIE ADA,PASSWORD
INATTENDU,VIEUX PAUL B,NAUSICAA III,AMERIC WILLIAMS
BLAS,LASCO,ROMIA,JET DU VIVIER
MONI,ECHO,VRISTANA,EQUILEO
BLACK WALL,OURAGAN CHERI,MAJORQUE,BABA OUL DADA
SCORPIO,GRANDPRE,IGRIPPINE,SUPER GASSEL
OHIME,BACCARAT DU PONT,DANSE DU ROUMOIS,TADZIO DE LA MOTTE
ASHALYKA,HAND DU VIVIER,JOIE DES RAMIERS,O SOLE MIO
ATTITUDE,CEDRE DU VIVIER,QUILLIJA D'OR,HELLO JO
RAMREE,LATINUS,KANCHEE,AVENIR DE SEE
KATHINA,DEFI D'AUNOU,ATHENAIS,ECU DE RETZ
GRAY D'ALBION,PRINCE D'ESPACE,REINE OA,HERMES PERRINE
MACHITO,DIAMANT DE MAI,CONCHITA II,QUINCY D
AVERSA,KINO PILE,QUELLYSE,GOSSE CLAYETTOIS
POUP'S,IN FOOT,ILANA,PYTHAGORAS
PRADANA,BRILLANTISSIME,DUNION DES RACQUES,SAM BOURBON
CHALDERO,UPSALIN,QUESSY DU LUTH,ESCAM
