race_id,hippodrome,nb_partants,sans_cote,sans_sf,sans_driver_forme,sans_biais_hippo,sans_ecart_corde,valides_pour_place,date_verif
12082026_4_7,HYERES,16,0,0,0,0,0,16,2026-08-12T16:12:33.894871+00:00
12082026_4_8,HYERES,9,0,0,1,0,1,8,2026-08-12T16:36:23.522795+00:00
12082026_6_2,LES SABLES D OLONNE,14,9,2,0,0,2,3,2026-08-12T16:36:23.522795+00:00
12082026_6_3,LES SABLES D OLONNE,13,9,1,1,0,2,2,2026-08-12T17:01:00.678725+00:00
12082026_6_4,LES SABLES D OLONNE,15,6,0,0,0,0,9,2026-08-12T18:00:58.507387+00:00
12082026_6_5,LES SABLES D OLONNE,13,4,0,1,0,1,8,2026-08-12T18:36:21.377432+00:00
12082026_6_6,LES SABLES D OLONNE,13,6,3,0,0,3,4,2026-08-12T20:12:24.185071+00:00
12082026_6_7,LES SABLES D OLONNE,13,10,2,0,0,2,1,2026-08-12T20:36:23.047215+00:00
12082026_6_8,LES SABLES D OLONNE,13,10,0,0,0,0,3,2026-08-12T21:12:30.988892+00:00
12082026_6_9,LES SABLES D OLONNE,15,11,0,0,0,0,4,2026-08-12T21:24:22.951261+00:00
13082026_3_1,ENGHIEN,12,0,0,0,0,0,12,2026-08-13T07:01:05.363859+00:00
13082026_3_5,ENGHIEN,10,0,0,0,0,0,10,2026-08-13T09:04:04.536779+00:00
13082026_3_6,ENGHIEN,10,0,0,0,0,0,10,2026-08-13T09:44:05.650597+00:00
13082026_3_8,ENGHIEN,14,0,0,0,0,0,14,2026-08-13T11:00:59.390034+00:00
13082026_4_2,WELS AUTRICHE,9,0,1,3,5,9,0,2026-08-13T11:12:24.223256+00:00
13082026_4_3,WELS AUTRICHE,12,0,0,4,8,12,0,2026-08-13T11:36:23.294585+00:00
13082026_4_4,WELS AUTRICHE,10,0,0,4,6,10,0,2026-08-13T12:06:25.140831+00:00
13082026_4_5,WELS AUTRICHE,11,0,9,1,0,10,0,2026-08-13T12:36:32.297645+00:00
13082026_4_6,WELS AUTRICHE,9,0,0,7,0,7,0,2026-08-13T13:12:26.708716+00:00
13082026_4_7,WELS AUTRICHE,8,0,1,3,0,4,0,2026-08-13T13:48:22.199943+00:00
13082026_4_8,WELS AUTRICHE,9,9,0,0,0,0,0,2026-08-13T14:12:25.816768+00:00
13082026_9_6,DIVONNE LES BAINS,11,0,0,0,0,0,11,2026-08-13T14:24:23.729879+00:00
15082026_3_3,MESLAY DU MAINE,10,0,0,0,0,0,10,2026-08-15T11:40:01.147641+00:00
15082026_10_1,SAINT MALO,10,9,1,0,0,1,0,2026-08-15T11:40:01.147641+00:00
15082026_3_4,MESLAY DU MAINE,14,0,0,0,0,0,14,2026-08-15T12:12:29.452389+00:00
15082026_10_2,SAINT MALO,12,10,2,0,0,2,0,2026-08-15T12:12:29.452389+00:00
15082026_9_2,GRENADE SUR GARONNE,13,1,3,0,0,3,9,2026-08-15T12:24:23.146209+00:00
15082026_10_3,SAINT MALO,12,9,3,0,0,3,0,2026-08-15T12:36:21.994458+00:00
15082026_3_5,MESLAY DU MAINE,10,0,0,0,0,0,10,2026-08-15T13:00:56.590102+00:00
15082026_10_4,SAINT MALO,12,9,2,0,0,2,1,2026-08-15T13:12:25.147776+00:00
15082026_3_6,MESLAY DU MAINE,8,0,0,0,0,0,8,2026-08-15T13:36:24.526267+00:00
15082026_10_5,SAINT MALO,14,10,0,2,0,2,2,2026-08-15T13:36:24.526267+00:00
15082026_3_7,MESLAY DU MAINE,9,0,0,1,0,1,8,2026-08-15T14:12:22.503254+00:00
15082026_10_6,SAINT MALO,14,8,0,0,0,0,6,2026-08-15T14:12:22.503254+00:00
15082026_10_7,SAINT MALO,14,10,0,0,0,0,4,2026-08-15T14:36:23.671264+00:00
15082026_3_8,MESLAY DU MAINE,10,0,0,0,0,0,10,2026-08-15T14:44:04.544905+00:00
15082026_10_8,SAINT MALO,13,8,1,0,0,1,4,2026-08-15T15:12:25.094657+00:00
15082026_10_9,SAINT MALO,12,7,0,1,0,1,4,2026-08-15T15:36:24.705745+00:00
15082026_6_12,ABY GOTEBORG,12,0,0,0,0,0,0,2026-08-15T16:12:23.251794+00:00
15082026_5_1,CAGNES/MER,7,0,0,0,0,0,7,2026-08-15T16:50:15.290921+00:00
15082026_5_2,CAGNES/MER,9,0,0,1,0,1,8,2026-08-15T17:24:22.058052+00:00
15082026_5_3,CAGNES/MER,10,0,0,0,0,0,10,2026-08-15T18:01:02.107591+00:00
15082026_5_4,CAGNES/MER,15,0,0,0,0,0,15,2026-08-15T18:36:22.641455+00:00
15082026_5_5,CAGNES/MER,9,0,0,1,0,1,8,2026-08-15T19:01:35.809774+00:00
15082026_5_6,CAGNES/MER,9,0,2,0,0,2,7,2026-08-15T19:36:23.764665+00:00
15082026_5_7,CAGNES/MER,6,0,0,1,0,1,5,2026-08-15T20:01:22.275255+00:00
16082026_3_1,ARGENTAN,12,0,0,0,0,0,12,2026-08-16T09:01:08.231658+00:00
16082026_3_2,ARGENTAN,11,0,4,1,0,5,6,2026-08-16T09:35:36.646295+00:00
16082026_3_3,ARGENTAN,13,0,0,0,0,0,13,2026-08-16T09:54:09.063191+00:00
16082026_3_4,ARGENTAN,14,0,0,0,0,0,14,2026-08-16T10:28:37.783425+00:00
16082026_3_5,ARGENTAN,14,0,0,1,0,1,13,2026-08-16T11:00:56.247526+00:00
16082026_3_6,ARGENTAN,11,0,0,1,0,1,10,2026-08-16T11:36:22.523753+00:00
16082026_3_7,ARGENTAN,13,0,0,0,0,0,13,2026-08-16T12:12:21.947004+00:00
16082026_3_8,ARGENTAN,12,0,0,0,0,0,12,2026-08-16T13:00:58.689081+00:00
